                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2925,                 2.6096,                 1.8276,                 1.3065,                0.59334,                0.54096,                0.57557,                0.36749,                0.60502,                0.55631,                0.58668,                 0.3634,                 1.3148,                 2.2281,                 1.4958,                 1.3509,               0.070148,              0.0033169,              0.0033169
                      1,                 1.1409,                 2.0851,                 1.1985,                 1.1904,                0.71333,                0.65358,                0.69019,                0.44019,                0.71892,                 0.6587,                0.69985,                0.42851,                 1.2719,                 2.1706,                 1.2604,                 1.3479,               0.040135,              0.0066371,              0.0066371
                      2,                 1.1899,                 2.1682,                 1.2137,                 1.2078,                0.75078,                0.63231,                0.68881,                 0.4291,                0.75095,                0.63993,                0.68664,                0.42835,                 1.3632,                 2.3857,                 1.4523,                 1.4145,               0.010108,               0.009944,               0.009944
                      3,                 1.2324,                 2.2207,                 1.2396,                 1.2301,                0.75359,                0.61433,                0.67025,                0.39696,                0.75279,                0.60922,                0.66241,                0.37131,                 1.4552,                 2.6023,                 1.3539,                  1.473,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.2275,                 2.1728,                 1.2125,                 1.2343,                0.76462,                0.66382,                0.73254,                0.44882,                0.76973,                0.66724,                0.73388,                0.44582,                 1.3292,                 2.0598,                 1.3642,                 1.3903,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.223,                 2.1506,                  1.194,                 1.2328,                 0.7749,                0.61945,                0.70584,                0.44896,                 0.7749,                0.61945,                0.70067,                0.45056,                 1.3685,                 2.1456,                 1.2431,                  1.398,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1975,                 2.0931,                 1.1318,                  1.212,                0.80701,                0.65652,                0.76358,                0.45815,                 0.7988,                0.65717,                0.75404,                0.46186,                 1.3406,                   2.07,                 1.2557,                 1.3874,               0.009901,               0.009901,               0.009901
                      7,                 1.1767,                 2.0575,                  1.092,                 1.2089,                0.76663,                0.68259,                0.74207,                0.46085,                0.77046,                0.68601,                0.73427,                0.46044,                 1.3128,                 2.0402,                 1.1581,                 1.3908,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1586,                 2.0198,                  1.094,                 1.1952,                0.80471,                0.68089,                0.77658,                0.50246,                 0.8116,                0.68601,                 0.7739,                0.49715,                 1.2748,                 2.0162,                 1.0535,                 1.3549,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1441,                 1.9808,                 1.0539,                 1.1867,                0.76105,                0.68483,                0.76606,                0.49221,                 0.7561,                0.67918,                 0.7513,                0.49333,                 1.2938,                 2.0882,                 1.0897,                 1.3613,              0.0098416,              0.0098416,              0.0098416
